,ax,ay,az,gx,gy,gz,mx,my,mz
11:05:35:50,-0.3660431,-1.0528412,13.642426,0.4321289,0.07394409,0.46391296,22.200012,-22.349548,-254.55017
11:05:35:51,,,,0.57380676,0.14530945,0.5075836,,,
11:05:35:52,0.07688904,-1.1294556,10.982468,0.97753906,0.32321167,0.6034546,19.94934,-21.150208,-253.79944
11:05:35:53,0.20617676,-1.1150818,10.352783,1.0222778,0.3253479,0.60772705,,,
11:05:35:54,0.5006561,-1.0624237,8.619385,0.9903259,0.29658508,0.5778961,,,
11:05:35:55,0.5700836,-0.957077,7.8819733,0.8454437,0.26568604,0.53422546,22.050476,-23.249817,-256.19965
11:05:35:56,,,,,,,21.749878,-22.650146,-256.3507
11:05:35:57,0.44319153,-0.7104645,7.5827026,0.44171143,0.17832947,0.4521942,,,
11:05:35:58,0.47911072,-0.6913147,7.719162,0.34370422,0.15383911,0.43728638,21.44928,-21.600342,-256.0501
11:05:35:59,0.46235657,-0.6625824,7.98732,,,,,,
11:05:35:60,0.60839844,-0.84454346,8.9066925,0.09017944,0.04411316,0.35525513,21.600342,-21.299744,-256.64978
11:05:35:61,0.5748749,-0.83018494,9.057526,0.08164978,0.049438477,0.33714294,,,
11:05:35:62,0.5269928,-0.85173035,9.593826,0.1253357,0.029205322,0.28175354,22.799683,-22.050476,-256.64978
11:05:35:63,0.40968323,-0.83735657,9.656067,0.21160889,0.05795288,0.25299072,,,
11:05:35:64,0.24687195,-0.89482117,9.356796,,,,22.050476,-22.50061,-256.95038
11:05:35:65,0.13433838,-0.97143555,8.8181,0.3841858,0.17939758,0.22102356,,,
11:05:35:66,0.10562134,-0.937912,8.545166,0.4033661,0.19750977,0.21890259,21.44928,-22.349548,-256.79932
11:05:35:67,-0.21520996,-0.94270325,7.8628235,0.4118805,0.22946167,0.21676636,,,
11:05:35:68,-0.29901123,-0.933136,7.621002,0.40975952,0.23266602,0.2242279,20.84961,-22.799683,-257.6996
11:05:35:69,-0.36843872,-0.90919495,7.4510193,0.4033661,0.23905945,0.23274231,,,
11:05:35:70,-0.68447876,-0.60272217,6.948227,0.3426361,0.2039032,0.28707886,20.100403,-21.299744,-258.45032
11:05:35:71,-0.6988373,-0.53808594,6.9266815,0.29789734,0.12719727,0.3222351,,,
11:05:35:73,0.057724,-0.8828583,7.2499084,0.23825073,-0.15615845,0.3722992,22.799683,-23.249817,-258.45032
11:05:35:74,0.4982605,-0.8182068,7.621002,0.22332764,-0.23072815,0.3776245,21.749878,-24.450684,-258.59985
11:05:35:75,0.8621826,-0.58117676,8.035202,0.22865295,-0.2509613,0.36164856,,,
